Smiles,docking score
CC(=O)N(O)c1ccc(C)cc1,-1.149
ClSC(Cl)(Cl)Cl,-2.101
NC(=O)/C(=C/c1ccc([NH+]([O-])O)o1)c1ccccc1,-4.374
O=[N+]([O-])c1ccc(CBr)cc1,-2.949
CCOP(=S)(OCC)SCCl,-3.029
CON(C)C(=O)Nc1ccc(Br)cc1,-3.383
N[C@@H](CCC(=O)NNc1ccc(CO)cc1)C(=O)O,-3.723
COc1ccc2c(c1)-c1nccc3cc(OC)c(OC)c(c13)C2=O,-2.846
CC(=O)OC(OC(C)=O)c1ccc([NH+]([O-])O)o1,-3.083
O=C(O)CCC(=O)Nc1ccc(Cl)c(Cl)c1Cl,-4.094
Cc1cnccn1,-4.073
O=c1c(O)c(O)c1=O,-1.502
c1ccc(C2OC2c2ccccc2)cc1,-3.223
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,-5.33
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],-2.258
Cc1cc2ccccc2c2ccc3c(c12)C1OC1C(O)C3O,-4.671
Cc1c2ccccc2c(C)c2c3c(ccc12)C(=O)C(=O)C=C3,-2.929
CCCCCCC(=O)O,-1.942
O=C(O)CCCCCCCBr,-2.573
O=NN1CCSC1CO,-3.345
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,-2.664
O=C1C=C2C(=CCO[C@H]2O)O1,-5.264
O=NN1CCS[C@@H]1[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,-6.382
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,-5.407
O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccc(O)cc1,-4.354
CNC(CC(=O)O)C(=O)N(C(C(N)=O)c1ccc(O)cc1)C1C(=O)N2C1SC(C)(C)C2C(=O)O,-5.308
Cc1ccncc1,-3.994
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,-5.827
ClCc1c2ccccc2cc2c1ccc1ccccc12,-3.295
COc1ccc(C=O)cc1,-4.182
O=C(NCc1ccccc1)C1CO1,-3.703
Fc1c(F)c(Cl)c(F)c(Cl)c1F,-3.134
CC(C)NCC(O)COc1cccc2c1OCC(O)C2,-6.609
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,-3.314
COc1ccc2c(c1)C1CCCCC1C1OC21,-3.339
ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,-2.862
COC1=CC(=O)c2c(nc(C)c3c2[nH]c2ccccc23)C1=O,-3.565
Fc1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-2.948
N/C(=N\O)c1cc(O)c(O)c(O)c1,-5.087
CC(=O)Nc1ccc(-c2ccccc2)cc1,-3.682
Cc1c2ccccc2nc2c1ccc1ccccc12,-3.061
Nc1ccc(-c2ccc(N)cc2[N+](=O)[O-])cc1,-3.442
O=C1C(=O)c2cccc3cccc1c23,-3.358
N=C1CCC(=N)c2c1c(O)c1ccccc1c2O,-4.621
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,-3.391
C=CCn1cc2c3c(cccc31)C1CC(C)CN(C#N)C1C2,-3.737
CC(C)(C)c1cc(-c2ccccc2)ccc1N=O,-3.532
[CH2-][N+](C)(C)CCO,-2.958
Cn1/c(=N/N)sc2ccccc21,-3.662
CC1CCCC2(C)CCCCC12O,-2.294
O=C(O)/C=C/c1ccc([N+](=O)[O-])o1,-2.347
ONc1ccc(-c2ccccc2)cc1,-3.114
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@H](C)[C@]2(O)[C@@H](C=C(CO)C[C@@]3(O)C(=O)C(C)=C[C@@H]23)[C@H]2C(C)(C)[C@@]12OC(C)=O,-5.904
Cc1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1,-4.165
Nc1ccc([N+](=O)[O-])cc1,-3.317
COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,-3.866
Cc1cnc2cc(C)c3c(nc(N)n3C)c2n1,-3.662
Cc1cccc2c1-c1cc3ccccc3cc1C1NC21,-3.652
O=C1OCC(Cl)=C1Cl,-2.787
CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,-3.964
O=Cc1cccc(-c2ccccc2)c1,-3.754
Nc1ccc(N=Nc2ccc(N)cc2)cc1,-3.612
CCCCN(CCCC(=O)O)N=O,-2.091
CC1CN=C(O)N1c1ncc([N+](=O)[O-])s1,-3.35
Cc1ccc(N)cc1N=[N+]([O-])c1cc(N)ccc1C,-5.141
Clc1cccc(Cl)c1NC1=NCCN1,-2.975
CCOC[C@@H](O)COc1ccc(NC(=O)CC[S+](C)C)cc1,-4.799
ClCCSCc1ccccc1,-3.48
ClCC(Br)CCl,-2.644
CCOc1ccc(C(C)(C)C)cc1NC(=O)C(=O)Nc1ccccc1CC,-4.01
O=S(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,-3.514
Oc1ccc(O)c2c(O)c3ccccc3c(O)c12,-6.936
COC1=CC(=O)c2c(nc(C)c3c4c[nH]ccc-4nc23)C1=O,-3.485
ONc1ccc2ccccc2c1,-4.241
CCC1OC(CO)C(COCC2OC(COC3OC(CO)C(O)C(O)C3O)C(OC)C(O)C2O)C(O)C1O,-8.551
CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O,-9.702
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(O)(C2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(C)(O)C1O,-5.852
CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-7.668
CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CC(O)CCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,-5.514
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,-7.498
CCOC(=O)[C@@H](C[C@](C)(C[C@@H](C[C@@](C)(C[C@H](C)C(=O)OCC)C(=O)O)C(=O)OCC)C(=O)O)C[C@](C)(CC)C(=O)O,-1.951
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3,-6.57
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-3.332
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,-7.762
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,-7.226
OC[C@@H]1CO[C@@H](CCI)O1,-4.479
CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C,0.611
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-4.014
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,-8.153
COC1COC(COCC2COC(OC)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O,-2.688
CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O,-8.704
CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CC(O)CCCCCCC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,-5.11
CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CCCCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,-5.793
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,-3.034
CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,-5.464
CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C=C(/C)CC/C=C(/C)CCC=C(C)C,-2.495
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,-9.255
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,-3.044
CC(=O)Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)c4ccc(S(=O)(=O)O)cc34)c(O)c12,-3.604
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,-4.116
Oc1ccc2[nH]ccc2c1,-4.113
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-2.987
Nc1cc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)c4ccc(S(=O)(=O)O)cc34)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O,-2.365
CN=P1(NC)N=P(NC)(NC)N=P(NC)(NC)N1,-4.821
CCCCC(CC)COP(OCC(CC)CCCC)OCC(CC)CCCC,-2.962
CCCC[C@@H](CC)COP(OC[C@H](CC)CCCC)OC[C@H](CC)CCCC,-2.14
O=C1c2ccccc2C(=O)c2c1ccc(C1OC(CO)C(O)C(O)C1O)c2O,-6.944
O=C1c2ccccc2C(=O)c2c1cc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c(CO)c2O,-9.502
C[C@@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-3.149
CNP1(NC)=NP(NC)(NC)=NP(NC)(NC)=N1,-3.447
OCC(O)C(O)CO,-3.744
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@H]3[C@@H](O)[C@H](n4cnc5c(N)ncnc54)O[C@@H]3CO)[C@@H](O)[C@H]2O)c(=O)n1,-4.794
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,-4.61
C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1,-0.34
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,-3.471
O=P(OCCCl)(OCCCl)OCCCl,-3.176
N[C@@H](CCC(=O)N[C@@H](CS/C(Cl)=C(/Cl)C(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O,-4.876
O=C1c2ccccc2C(=O)c2c1ccc([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2O,-6.314
C[C@]12CC[C@H](OC(=O)COc3ccc(N(CCCl)CCCl)cc3)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)NC(=O)CC[C@@H]12,-1.483
CC(OP(=O)(OC(C)C(Br)CBr)OC(C)C(Br)CBr)C(Br)CBr,-3.483
CC(C)(C)NC(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,-4.634
O=P(OCCC(Br)CBr)(OCCC(Br)CBr)OCCC(Br)CBr,-4.019
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,-3.436
CC(Br)C(Br)COP(=O)(OCC(Br)C(C)Br)OCC(Br)C(C)Br,-3.434
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-4.348
C[C@]12CC[C@H](OC(=O)Cc3ccc(N(CCCl)CCCl)cc3)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)NC(=O)CC[C@@H]12,-1.766
CCCC[C@@H](CC)COP(=O)(OC[C@H](CC)CCCC)OC[C@H](CC)CCCC,-2.754
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N2CCOC[C@H]2C#N)[C@H](O)[C@H](C)O1,-6.22
CC(=O)c1cc(NC(=O)Nc2ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c2)ccc1OCC(O)CNC(C)(C)C,-5.749
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,-4.239
C1CCC2OCCOCCOC3CCCCC3OCCOCCOCCOC2C1,-1.243
COc1cc2c(cc1O)CCN[C@]21CSC2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,-3.644
Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c2c1,-3.651
CC[C@H](CO)NCCN[C@H](CC)CO,-3.772
OCC1OC(n2cnc3c(NCC(O)COc4cccc5ccccc45)ncnc32)C(O)C1O,-6.988
Nc1ccc(N=Nc2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccc(N=Nc6ccc(N)cc6N)cc5)c(O)c4c3N)cc2)c(N)c1,-5.645
CCC1=C(CC2NCCc3cc(OC)c(OC)cc32)CC2c3cc(OC)c(OC)cc3CCN2C1,-4.742
N[C@@H](CCC(=O)N[C@@H](CSC(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O,-5.022
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-4.703
CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-7.808
CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1cccc(N(CCCl)CCCl)c1)NC(=O)[C@@H](N)Cc1ccc(F)cc1,-6.52
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C(=O)O)C5CCC43C)C2C1,-4.774
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,-4.969
CC(C)(Br)C(Br)COP(=O)(OCC(Br)C(C)(C)Br)OCC(Br)C(C)(C)Br,-4.01
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-2.19
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-2.902
OCC(Cl)(Cl)Cl,-3.239
C=C1C(=O)O[C@@H]2C[C@H](C)[C@H]3C[C@@H](OCC)O[C@@H](OCC)[C@]3(C)C[C@H]12,-2.928
C[C@H]1C[C@H]2OC(=O)[C@H](C)[C@H]2C[C@@]2(C)[C@H](O)C[C@H](O)C[C@H]12,-4.024
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,-1.997
[O-][NH+](O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-2.093
